City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Mount Airy,21771,Exxon,"4400 Mill Bottom Rd, 21771",4.13,Exxon,39.3539588,-77.1714016,4.1
Mount Airy,21771,Ridgeville Service Center,"4 E Ridgville Blvd, 21771",4.05,-,,,4.05
Mount Airy,21771,Shell,"649 Lakeview Dr, 21771",4.33,Shell,39.3536202,-77.1701334,4.28
Mount Airy,21771,Carroll Motor Fuels,"502 E Ridgeville Blvd, 21771",3.99,-,39.3630121,-77.1601868,3.99
Mount Airy,21771,High's Dairy Store,"109 Ridgeside Ct, 21771",4.09,High's,39.363781,-77.1645562,4.04
New Market,21774,Falcon Fuel,"11719 Old National Pike, 21774",4.09,-,39.3937185,-77.3315807,4.09
New Market,21774,High's Dairy Store,"11780 Old National Pike, 21774",4.09,High's,39.3842372,-77.2563552,4.04
Monrovia,21770,Carroll Motor Fuels,"11791 Fingerboard Rd, 21770",3.89,-,39.3437797,-77.2549934,3.89
Ijamsville,21754,Sheetz,"9253 Fingerboard Rd, 21754",3.89,Sheetz,39.3273682,-77.3428783,3.86
Ijamsville,21754,Dash In,"3359 Urbana Pike, 21754",3.99,-,39.3234078,-77.3408281,3.99
Ijamsville,21754,Gas & Go Express,"10122 Old National Pike, 21754",4.19,-,39.3899693,-77.3107474,4.19
Ijamsville,21754,Sheetz,"5943 Oakcross Ln, 21754",4.19,Sheetz,39.3951765,-77.3233888,4.16
Damascus,20872,Liberty,"26241 Ridge Rd, 20872",3.77,-,39.2879496,-77.2062264,3.77
Damascus,20872,Safeway,"26300 Ridge Rd, 20872",3.83,-,39.2887375,-77.2048713,3.83
Damascus,20872,Carroll Motor Fuels,"26234 Ridge Rd, 20872",3.79,-,39.2879879,-77.207233,3.79
Frederick (Downtown),21701,Sheetz,"1300 E Patrick St, 21701",3.89,Sheetz,39.4065678,-77.3879765,3.86
Frederick (Downtown),21701,Carroll Motor Fuels,"1111 E Patrick St, 21701",3.89,-,39.4084474,-77.389934,3.89
Frederick (Downtown),21701,Rutter's,"1730 Monocacy Blvd, 21701",3.89,-,39.4386369,-77.3776528,3.89
Frederick (Downtown),21701,Jefferson Street Service Ctr,"242 S Jefferson St, 21701",3.95,-,39.4096067,-77.4244053,3.95
Frederick (Downtown),21701,Shell,"342 S Jefferson St, 21701",3.97,Shell,39.4087437,-77.426607,3.92
Frederick (Downtown),21701,Crown,"9824 Liberty Rd, 21701",3.95,-,39.4541047,-77.3228424,3.95
Frederick (Downtown),21701,Giant,"1700 Kingfisher Dr, 21701",3.99,Giant,39.4478199,-77.3835177,3.94
Frederick (Downtown),21701,Exxon,"6067 Spring Ridge Pkwy, 21701",3.99,Exxon,39.403557,-77.3478271,3.96
Frederick (Downtown),21701,7-Eleven,"11922 Main St, 21701",4.01,7-Eleven,28.0718039,-82.6265505,3.98
Frederick (Downtown),21701,Royal Farms,"75 Monocacy Blvd, 21701",3.99,Royal Farms,39.4079785,-77.3879366,3.89
